2019-09-11 19:14:38 INFO: Using 1 GPUs.

2019-09-11 19:26:39 INFO: Epoch[14] Iteration[33/46] Loss: 6.8221
2019-09-11 19:26:41 INFO: Epoch[14] Iteration[37/46] Loss: 6.8170
2019-09-11 19:26:42 INFO: Epoch[14] Iteration[41/46] Loss: 6.8114
2019-09-11 19:26:43 INFO: Epoch[14] Iteration[45/46] Loss: 6.8069
2019-09-11 19:27:19 INFO: Epoch[15] Iteration[1/46] Loss: 6.8047
2019-09-11 19:27:20 INFO: Epoch[15] Iteration[5/46] Loss: 6.7998
2019-09-11 19:27:21 INFO: Epoch[15] Iteration[9/46] Loss: 6.7944
2019-09-11 19:27:23 INFO: Epoch[15] Iteration[13/46] Loss: 6.7897
2019-09-11 19:27:24 INFO: Epoch[15] Iteration[17/46] Loss: 6.7852
2019-09-11 19:27:25 INFO: Epoch[15] Iteration[21/46] Loss: 6.7803
2019-09-11 19:27:27 INFO: Epoch[15] Iteration[25/46] Loss: 6.7750
2019-09-11 19:27:28 INFO: Epoch[15] Iteration[29/46] Loss: 6.7703
2019-09-11 19:27:29 INFO: Epoch[15] Iteration[33/46] Loss: 6.7649
2019-09-11 19:27:30 INFO: Epoch[15] Iteration[37/46] Loss: 6.7605
2019-09-11 19:27:32 INFO: Epoch[15] Iteration[41/46] Loss: 6.7560
2019-09-11 19:27:33 INFO: Epoch[15] Iteration[45/46] Loss: 6.7511
2019-09-11 19:28:09 INFO: Epoch[16] Iteration[1/46] Loss: 6.7487
2019-09-11 19:28:10 INFO: Epoch[16] Iteration[5/46] Loss: 6.7437
2019-09-11 19:28:11 INFO: Epoch[16] Iteration[9/46] Loss: 6.7388
2019-09-11 19:28:13 INFO: Epoch[16] Iteration[13/46] Loss: 6.7339
2019-09-11 19:28:14 INFO: Epoch[16] Iteration[17/46] Loss: 6.7294
2019-09-11 19:28:15 INFO: Epoch[16] Iteration[21/46] Loss: 6.7245
2019-09-11 19:28:16 INFO: Epoch[16] Iteration[25/46] Loss: 6.7203
2019-09-11 19:28:18 INFO: Epoch[16] Iteration[29/46] Loss: 6.7152
2019-09-11 19:28:19 INFO: Epoch[16] Iteration[33/46] Loss: 6.7113
2019-09-11 19:28:20 INFO: Epoch[16] Iteration[37/46] Loss: 6.7072
